feature,schemas_with_feature,compile_error_schemas_with_feature,compile_error_rate_with_feature,compile_error_rate_without_feature,lift
has_type,4950,875,0.176768,0.1,1.76768
has_properties,4840,843,0.174174,0.275,0.633358
has_required,3621,715,0.197459,0.120239,1.64222
many_properties,2323,573,0.246664,0.114903,2.14671
has_additionalProperties,2364,570,0.241117,0.117874,2.04555
has_items,2400,545,0.227083,0.129297,1.75629
has_boolean_schema,2285,543,0.237637,0.124486,1.90894
has_enum,1961,445,0.226925,0.143715,1.579
many_required,1796,413,0.229955,0.146334,1.57145
has_defs,1144,397,0.347028,0.125524,2.76463
has_ref,1051,393,0.37393,0.123561,3.02627
has_oneOf,502,329,0.655378,0.122701,5.34127
has_pattern,1135,323,0.284581,0.144575,1.9684
has_patternProperties,314,310,0.987261,0.121825,8.10391
deep_schema,979,291,0.297242,0.146948,2.02277
large_enum,753,208,0.276228,0.158783,1.73966
has_default,1115,196,0.175785,0.176853,0.993959
has_minItems,576,194,0.336806,0.155566,2.16504
has_minimum,769,181,0.235371,0.165832,1.41934
has_minLength,701,173,0.24679,0.165062,1.49513
has_anyOf,413,141,0.341404,0.161645,2.11206
has_maxLength,545,123,0.225688,0.170555,1.32326
has_maximum,352,107,0.303977,0.166884,1.82149
has_minProperties,85,84,0.988235,0.162462,6.08289
has_allOf,149,82,0.550336,0.165038,3.33459
has_maxItems,212,75,0.353774,0.168703,2.09702
has_not,56,56,1,0.16721,5.98049
has_maxProperties,31,30,0.967742,0.171637,5.6383
has_const,39,21,0.538462,0.173745,3.09915
has_propertyNames,11,11,1,0.174783,5.72139
has_if_then_else,10,8,0.8,0.175354,4.56221
has_exclusiveMinimum,16,7,0.4375,0.175769,2.48907
has_multipleOf,37,7,0.189189,0.176518,1.07178
has_exclusiveMaximum,4,3,0.75,0.17615,4.25773
has_contains,1,1,1,0.176447,5.66743
has_anchor,0,0,0,0.176613,0
has_content,3,0,0,0.17672,0
has_dependentRequired,0,0,0,0.176613,0
has_dependentSchemas,0,0,0,0.176613,0
has_dynamicRef,0,0,0,0.176613,0
has_infinite_loop_detection,0,0,0,0.176613,0
has_maxContains,0,0,0,0.176613,0
has_minContains,0,0,0,0.176613,0
has_prefixItems,0,0,0,0.176613,0
has_unevaluatedItems,0,0,0,0.176613,0
has_unevaluatedProperties,0,0,0,0.176613,0
has_uniqueItems,0,0,0,0.176613,0
