feature,n_schemas,n_completed_tests,under_rate,over_rate,correct_rate,timeout_rate
has_minProperties,29,153,0,1,0.679739,0
has_not,20,106,0,1,0.688679,0
has_maxProperties,10,51,0,1,0.705882,0
has_if_then_else,4,20,0,1,0.65,0
has_propertyNames,3,17,0,1,0.764706,0
has_contains,1,3,0,1,0.666667,0
has_patternProperties,119,585,0,0.981567,0.635897,0
has_allOf,42,230,0,0.87013,0.708696,0
has_oneOf,182,899,0,0.858859,0.681869,0
has_multipleOf,9,36,0,0.833333,0.583333,0
has_const,19,106,0,0.823529,0.735849,0
large_enum,267,1357,0,0.822014,0.741341,0
many_properties,1268,6593,0,0.792818,0.738814,0
has_maxLength,252,1754,0,0.789352,0.805587,0
has_pattern,512,3435,0,0.780347,0.803493,0
deep_schema,338,1666,0,0.761404,0.739496,0
has_ref,442,2328,0,0.755155,0.748282,0
has_boolean_schema,825,4519,0,0.753684,0.762337,0
has_enum,808,4173,0,0.752252,0.759885,0
has_defs,471,2505,0,0.750907,0.752096,0
has_additionalProperties,852,4692,0,0.749155,0.763853,0
has_maxItems,90,594,0,0.745098,0.808081,0
has_items,990,5391,0,0.737456,0.765535,0
has_maximum,111,779,0,0.736842,0.820282,0
has_type,1823,9210,0,0.733743,0.753746,0
has_properties,1819,9202,0,0.733225,0.754184,0
has_minLength,313,2166,0,0.731978,0.817175,0
has_minItems,227,1399,0,0.731266,0.797713,0
has_required,1365,6957,0,0.722127,0.757942,0
has_default,485,2364,0,0.719902,0.752115,0
many_required,827,4216,0,0.716429,0.762097,0
has_minimum,302,1974,0,0.705426,0.815603,0
has_anyOf,92,552,0,0.673077,0.809783,0
has_exclusiveMinimum,9,62,0,0.6,0.854839,0
has_content,2,7,0,0,1,0
