feature,feature_pair,feature_a,feature_b,n_schemas,support,risk_count,interest_score,timeout_lift,timeout_delta,under_lift,under_delta,over_lift,over_delta,correct,timeout,under,over,correct_n,timeout_n,under_n,over_n
[P] has_default + has_maxLength,has_default__AND__has_maxLength,has_default,has_maxLength,68,0.0166994,3,3.01311e+06,13.085,0.298804,1.72956,0.0802231,1.63999,0.176909,0.00563258,0.181818,0.0297723,0.0197664,2308,121,571,1113
[P] has_maxLength + has_maximum,has_maxLength__AND__has_maximum,has_maxLength,has_maximum,60,0.0147348,3,3.01022e+06,10.1892,0.240495,1.39239,0.0432603,2.06342,0.292506,0.00259965,0.132231,0.0227671,0.0233603,2308,121,571,1113
[P] has_maximum + has_minLength,has_maximum__AND__has_minLength,has_maximum,has_minLength,54,0.0132613,3,3.00898e+06,8.95645,0.213862,1.20739,0.0229553,1.83769,0.231129,0.0034662,0.107438,0.0210158,0.0197664,2308,121,571,1113
[P] has_maximum + has_pattern,has_maximum__AND__has_pattern,has_maximum,has_pattern,73,0.0179273,3,3.00777e+06,7.752,0.178973,2.3889,0.148642,1.77878,0.214348,0.00216638,0.123967,0.0437828,0.0269542,2308,121,571,1113
[P] has_maxLength + has_minimum,has_maxLength__AND__has_minimum,has_maxLength,has_minimum,94,0.0230845,3,3.00646e+06,6.44863,0.143818,2.06506,0.114036,1.52391,0.144341,0.00303293,0.132231,0.0683012,0.0314465,2308,121,571,1113
[P] has_enum + has_maximum,has_enum__AND__has_maximum,has_enum,has_maximum,110,0.0270138,3,3.00632e+06,6.29444,0.137639,2.21574,0.129257,1.93358,0.254288,0.00389948,0.14876,0.0630473,0.0440252,2308,121,571,1113
[P] has_default + has_maximum,has_default__AND__has_maximum,has_default,has_maximum,69,0.016945,3,3.00569e+06,5.22653,0.117198,5.64314,0.467798,1.17539,0.0487253,0.000433276,0.0826446,0.0753065,0.017071,2308,121,571,1113
[P] has_minLength + has_minimum,has_minLength__AND__has_minimum,has_minLength,has_minimum,101,0.0248035,3,3.00475e+06,4.73258,0.101516,1.51966,0.0565098,1.47675,0.131287,0.00563258,0.107438,0.0735552,0.032345,2308,121,571,1113
[P] has_maximum + has_properties,has_maximum__AND__has_properties,has_maximum,has_properties,212,0.0520629,3,3.00473e+06,3.1819,0.0582217,4.70075,0.321851,1.23834,0.0656138,0.00823224,0.14876,0.197898,0.0592992,2308,121,571,1113
[P] has_maximum + has_minimum,has_maximum__AND__has_minimum,has_maximum,has_minimum,212,0.0520629,3,3.00467e+06,3.1819,0.0582217,4.63565,0.318054,1.22581,0.0622087,0.00909879,0.14876,0.196147,0.0584007,2308,121,571,1113
[P] has_maximum + has_type,has_maximum__AND__has_type,has_maximum,has_type,217,0.0532908,3,3.00462e+06,3.10456,0.0562308,4.5882,0.312638,1.24225,0.0666645,0.00953206,0.14876,0.197898,0.0610961,2308,121,571,1113
[P] has_minimum + has_pattern,has_minimum__AND__has_pattern,has_minimum,has_pattern,133,0.0326621,3,3.00421e+06,4.19102,0.0858716,2.24178,0.128399,1.73446,0.199904,0.0034662,0.123967,0.0945709,0.0521114,2308,121,571,1113
[P] has_boolean_schema + has_maximum,has_boolean_schema__AND__has_maximum,has_boolean_schema,has_maximum,121,0.0297151,3,3.00395e+06,3.93044,0.0801032,3.12231,0.215589,1.55252,0.151621,0.00433276,0.107438,0.0963222,0.0422282,2308,121,571,1113
[P] has_additionalProperties + has_minimum,has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,250,0.0613949,3,3.00395e+06,2.3296,0.0365275,3.91952,0.256346,1.15332,0.0423149,0.00693241,0.132231,0.255692,0.0691824,2308,121,571,1113
[P] has_additionalProperties + has_maximum,has_additionalProperties__AND__has_maximum,has_additionalProperties,has_maximum,123,0.0302063,3,3.00389e+06,3.86457,0.0783424,3.09276,0.212551,1.5723,0.156892,0.00433276,0.107438,0.0980736,0.0431267,2308,121,571,1113
[P] has_maxItems + has_maximum,has_maxItems__AND__has_maximum,has_maxItems,has_maximum,18,0.00442043,3,3.00381e+06,3.78525,0.0817574,1.19236,0.0213519,1.879,0.24407,0.00216638,0.0165289,0.00525394,0.00718778,2308,121,571,1113
[P] has_boolean_schema + has_default,has_boolean_schema__AND__has_default,has_boolean_schema,has_default,300,0.0736739,3,3.00379e+06,3.78552,0.068678,1.35315,0.0381244,1.33737,0.0917856,0.055026,0.231405,0.0928196,0.0925427,2308,121,571,1113
[P] has_maximum + has_required,has_maximum__AND__has_required,has_maximum,has_required,168,0.0412574,3,3.00379e+06,2.55832,0.0435085,3.75931,0.262064,1.31505,0.0866743,0.00779896,0.0991736,0.145359,0.0512129,2308,121,571,1113
[P] has_enum + has_minimum,has_enum__AND__has_minimum,has_enum,has_minimum,194,0.0476424,3,3.00374e+06,3.72357,0.0716359,2.70227,0.16941,1.65916,0.178093,0.00563258,0.157025,0.150613,0.0700809,2308,121,571,1113
[P] has_additionalProperties + has_default,has_additionalProperties__AND__has_default,has_additionalProperties,has_default,318,0.0780943,3,3.00373e+06,3.72115,0.0666878,1.2582,0.0280497,1.42202,0.113901,0.0571924,0.239669,0.0928196,0.103324,2308,121,571,1113
