context_feature,context_value,support_schemas,support_tests,under_rate,over_rate,baseline_under_rate,baseline_over_rate,under_lift,over_lift,low_support
instance_satisfies_not_subschema,false,17,56,0.0535714,0.25,0.0716883,0.0988745,0.747283,2.52846,false
instance_satisfies_not_subschema,true,16,41,0.0731707,0.146341,0.0716883,0.0988745,1.02068,1.48007,false
instance_satisfies_not_subschema,unknown,3932,17228,0.0717437,0.0982703,0.0716883,0.0988745,1.00077,0.993889,false
not_contains_allOf,false,3949,17304,0.0717753,0.0987633,0.0716883,0.0988745,1.00121,0.998876,false
not_contains_allOf,true,3,21,0,0.190476,0.0716883,0.0988745,0,1.92644,true
not_contains_anyOf,false,3949,17316,0.0717256,0.0986371,0.0716883,0.0988745,1.00052,0.997599,false
not_contains_anyOf,true,3,9,0,0.555556,0.0716883,0.0988745,0,5.6188,true
not_contains_const,false,3952,17325,0.0716883,0.0988745,0.0716883,0.0988745,1,1,false
not_contains_enum,false,3945,17298,0.0716268,0.0986241,0.0716883,0.0988745,0.999142,0.997468,false
not_contains_enum,true,7,27,0.111111,0.259259,0.0716883,0.0988745,1.54992,2.62211,true
not_contains_pattern,false,3949,17306,0.071767,0.0988097,0.0716883,0.0988745,1.0011,0.999345,false
not_contains_pattern,true,3,19,0,0.157895,0.0716883,0.0988745,0,1.59692,true
not_contains_properties,false,3949,17317,0.0717214,0.0986891,0.0716883,0.0988745,1.00046,0.998126,false
not_contains_properties,true,3,8,0,0.5,0.0716883,0.0988745,0,5.05692,true
not_contains_required,false,3935,17227,0.0717478,0.0982179,0.0716883,0.0988745,1.00083,0.99336,false
not_contains_required,true,17,98,0.0612245,0.214286,0.0716883,0.0988745,0.854037,2.16725,false
not_parent_keyword,$defs,3,15,0,0.333333,0.0716883,0.0988745,0,3.37128,true
not_parent_keyword,absent,3913,17122,0.0720126,0.0975353,0.0716883,0.0988745,1.00452,0.986456,false
not_parent_keyword,additionalProperties,1,3,0,0.333333,0.0716883,0.0988745,0,3.37128,true
not_parent_keyword,allOf,3,16,0.25,0.25,0.0716883,0.0988745,3.48732,2.52846,true
not_parent_keyword,anyOf,3,19,0,0.157895,0.0716883,0.0988745,0,1.59692,true
not_parent_keyword,items,1,4,0,0.25,0.0716883,0.0988745,0,2.52846,true
not_parent_keyword,mixed,2,10,0.1,0.1,0.0716883,0.0988745,1.39493,1.01138,true
not_parent_keyword,oneOf,5,29,0,0.275862,0.0716883,0.0988745,0,2.79002,true
not_parent_keyword,properties,15,71,0.0422535,0.169014,0.0716883,0.0988745,0.589406,1.70938,false
not_parent_keyword,root,5,29,0.0344828,0.206897,0.0716883,0.0988745,0.481009,2.09252,true
not_parent_keyword,then,1,7,0,0.285714,0.0716883,0.0988745,0,2.88967,true
not_sibling_keyword_count_bucket,0,3927,17193,0.0718897,0.0980632,0.0716883,0.0988745,1.00281,0.991795,false
not_sibling_keyword_count_bucket,1,7,34,0.117647,0.117647,0.0716883,0.0988745,1.64109,1.18986,true
not_sibling_keyword_count_bucket,2,7,40,0.025,0.175,0.0716883,0.0988745,0.348732,1.76992,true
not_sibling_keyword_count_bucket,3,3,10,0,0.5,0.0716883,0.0988745,0,5.05692,true
not_sibling_keyword_count_bucket,4-5,3,19,0,0.263158,0.0716883,0.0988745,0,2.66154,true
not_sibling_keyword_count_bucket,6+,5,29,0.0344828,0.206897,0.0716883,0.0988745,0.481009,2.09252,true
not_target_type,absent,3939,17272,0.0719083,0.0984252,0.0716883,0.0988745,1.00307,0.995456,false
not_target_type,array,1,3,0,0.333333,0.0716883,0.0988745,0,3.37128,true
not_target_type,mixed,4,25,0,0.2,0.0716883,0.0988745,0,2.02277,true
not_target_type,number,2,9,0,0.222222,0.0716883,0.0988745,0,2.24752,true
not_target_type,object,5,15,0,0.266667,0.0716883,0.0988745,0,2.69702,true
not_target_type,string,1,1,0,1,0.0716883,0.0988745,0,10.1138,true
