feature,schemas_with_feature,schemas_without_feature,under_with_feature,under_without_feature,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,support,global_under_rate,eligible_lift
has_properties,265,100,70,0,506,250,0.13834,0,inf,0.13834,0.726027,0.0925926,true
has_allOf,21,344,16,54,33,723,0.484848,0.0746888,6.49158,0.41016,0.0575342,0.0925926,true
many_required,26,339,19,51,70,686,0.271429,0.074344,3.65098,0.197085,0.0712329,0.0925926,true
has_minItems,15,350,12,58,41,715,0.292683,0.0811189,3.60807,0.211564,0.0410959,0.0925926,true
has_maximum,8,357,8,62,28,728,0.285714,0.0851648,3.35484,0.200549,0.0219178,0.0925926,true
has_minimum,21,344,14,56,61,695,0.229508,0.0805755,2.84836,0.148933,0.0575342,0.0925926,true
has_required,140,225,43,27,279,477,0.154122,0.0566038,2.72282,0.0975181,0.383562,0.0925926,true
many_properties,29,336,11,59,55,701,0.2,0.0841655,2.37627,0.115835,0.0794521,0.0925926,true
deep_schema,29,336,8,62,40,716,0.2,0.0865922,2.30968,0.113408,0.0794521,0.0925926,true
has_oneOf,46,319,19,51,106,650,0.179245,0.0784615,2.2845,0.100784,0.126027,0.0925926,true
has_boolean_schema,112,253,33,37,224,532,0.147321,0.0695489,2.11824,0.0777726,0.306849,0.0925926,true
has_additionalProperties,116,249,32,38,230,526,0.13913,0.0722433,1.92586,0.0668871,0.317808,0.0925926,true
has_minLength,28,337,8,62,65,691,0.123077,0.089725,1.37171,0.0333519,0.0767123,0.0925926,true
has_pattern,33,332,13,57,120,636,0.108333,0.0896226,1.20877,0.0187107,0.090411,0.0925926,true
has_items,67,298,15,55,162,594,0.0925926,0.0925926,1,0,0.183562,0.0925926,true
large_enum,29,336,4,66,46,710,0.0869565,0.0929577,0.935441,-0.00600122,0.0794521,0.0925926,true
has_anyOf,26,339,7,63,84,672,0.0833333,0.09375,0.888889,-0.0104167,0.0712329,0.0925926,true
has_enum,86,279,15,55,189,567,0.0793651,0.0970018,0.818182,-0.0176367,0.235616,0.0925926,true
has_ref,10,355,2,68,33,723,0.0606061,0.0940526,0.644385,-0.0334465,0.0273973,0.0925926,true
has_default,29,336,3,67,60,696,0.05,0.0962644,0.519403,-0.0462644,0.0794521,0.0925926,true
has_defs,33,332,2,68,46,710,0.0434783,0.0957746,0.453964,-0.0522964,0.090411,0.0925926,true
has_maxLength,22,343,2,68,55,701,0.0363636,0.0970043,0.374866,-0.0606406,0.060274,0.0925926,true
has_patternProperties,22,343,0,70,37,719,0,0.0973574,0,-0.0973574,0.060274,0.0925926,true
has_multipleOf,2,363,3,67,5,751,0.6,0.0892144,6.72537,0.510786,0.00547945,0.0925926,false
has_not,7,358,7,63,14,742,0.5,0.0849057,5.88889,0.415094,0.0191781,0.0925926,false
has_maxItems,5,360,2,68,8,748,0.25,0.0909091,2.75,0.159091,0.0136986,0.0925926,false
has_type,357,8,69,1,743,13,0.0928668,0.0769231,1.20727,0.0159437,0.978082,0.0925926,false
has_minProperties,3,362,0,70,4,752,0,0.0930851,0,-0.0930851,0.00821918,0.0925926,false
